#fields:  name;RG;dataNascimento
Avila Baxter;276413925;1981-03-24
Beryl Watts;347238346;1922-03-20
Sheila Kelley;522485284;1965-01-10
Sallie Rios;554910574;1948-04-03
Lilia Wilkins;881468477;1916-05-04
Sarah Peterson;833926700;1927-04-16
Whitfield Boyle;940443827;1936-09-06
Madge Hancock;111091817;1951-11-27
Powell Neal;117254277;1984-02-28
Petty Horne;282490003;1918-03-28
Tricia Camacho;867825844;2015-03-21
Chavez Munoz;245179465;2012-04-20
Clayton Mendez;228216626;2012-09-03
Lindsey Kennedy;714059851;1993-12-18
England Sanchez;16366220;1922-09-24
Tamika Ochoa;173212275;1974-09-18
Wagner Hill;174124775;1926-05-19
Tina Weaver;983066480;1998-08-10
Wiggins Carpenter;272212678;1949-05-15
Dickerson Kirk;525129885;2005-09-29
Leach Keller;204315444;1921-12-24
Jane Sellers;606800879;1950-03-04
Valencia Holt;655403205;1998-08-31
Robbie Wright;70219247;1929-08-13
Meyers Hurst;738520671;1926-04-13
Macdonald Mullen;867028025;1942-09-24
Rosa Simon;633387458;1967-01-27
Haley Beck;160839973;2010-03-04
Carlene Valdez;533438201;2008-08-07
Moses Cabrera;497733364;1984-11-26
Noelle Odom;295705707;2009-09-12
Juanita Livingston;590221861;1968-05-31
Madden Franklin;16980419;1988-04-09
Selma Mills;939236055;1959-05-21
Le Gay;151076060;1974-10-25
Mays Lara;703163455;1960-01-10
Dean Olson;553285379;1978-08-22
Francis Gilbert;56073511;1986-10-29
Neva Butler;41548194;1941-01-13
Ellison Downs;489816262;1917-08-29
Sherman Raymond;236488921;1968-04-04
Roxanne Savage;302050627;1927-06-28
Alyce Dillard;866055894;1958-11-18
Cherie Hall;988611489;1932-12-05
Conley Leonard;612541624;1933-05-02
Georgia Wyatt;682855132;1934-07-12
Earnestine Mayo;482045682;1946-01-15
Bennett Leon;643380356;2013-12-28
Hamilton Dunn;529607578;1948-06-02
Duran Casey;383267611;1935-10-25
Shanna Adams;276470485;1985-11-16
Weeks Chaney;286228083;1920-04-10
Maryellen Mclean;36604193;2010-07-22
Navarro Ross;721239764;1955-12-17
Lucille Hampton;526919637;1968-08-15
Fay Spence;190153761;1936-02-17
Catalina Sweeney;987032907;1992-07-15
Brooke Lindsay;75579061;2007-08-18
Patrice Lane;726006308;1947-08-06
Woodward Fischer;92554844;1982-08-25
Sheri Franks;684010093;1977-10-15
Ollie Warren;627460785;1930-02-26
Elsa Ferguson;598352057;1949-10-30
Jeanette Scott;290824033;1936-06-21
Janine Mcleod;540336488;1999-09-26
Emilia Wallace;210090446;1959-02-04
Keller Lott;550396789;2002-03-29
Nelson Medina;823031426;1998-08-18
Terri Short;380339291;1962-10-06
Jeri Taylor;171759671;1947-02-15
Virgie Malone;774417830;2013-12-01
Bond Mckay;373790212;2002-10-16
Lenora Holloway;570088367;1994-10-24
Klein Whitehead;57878375;1960-08-07
Cline Hurley;177167966;1955-06-15
Willis Blair;891427532;1962-02-26
Church Lowe;742221322;1989-05-02
Chang Perkins;969923536;1929-06-29
Lauri Brennan;719835251;1953-03-09
Consuelo Sweet;983724813;1992-04-18
Hammond David;400016292;2003-08-07
Palmer Young;784222275;1965-05-19
Margret Jones;656991219;2001-05-29
Hogan Santana;921752659;1986-05-25
Christian Caldwell;186322873;1960-06-11
Pierce Copeland;912081871;1984-12-21
Berta Golden;494424404;1988-10-21
Helga Finley;611105503;1959-04-10
Bass Daugherty;70303135;2003-05-27
Minnie Boyd;48593756;1941-07-17
Roberson Nichols;338057299;2004-03-26
Cobb Gutierrez;96539783;2007-06-04
Black Evans;133843148;1932-09-18
Maryanne Maldonado;285471922;1945-02-10
Estelle Boyer;580113211;1949-12-17
Corina Conner;115637078;1922-11-13
Garner Castaneda;48574949;1957-08-11
Chasity Pate;170537219;1932-06-30
Cole Hensley;641737045;1993-02-23
Johns Hunter;877848846;2016-04-01
Stewart Bolton;702095019;1944-12-30
Reilly Dorsey;661130426;2013-10-11
Jewell Chavez;716581351;2012-12-28
Acevedo Howe;623135656;1966-11-13
House Sims;779181777;1968-12-03
Stein Sawyer;562625170;2008-09-19
Glass Ortega;166843098;2013-07-01
George Campos;609986315;1951-12-01
Leola Bradley;401798759;2004-11-25
Isabelle Huber;850520955;1917-08-30
Eddie Huffman;383681320;1990-12-18
Trudy Rowland;13895198;1968-09-07
Bridges Gregory;224223771;2003-05-03
Maribel Wolfe;348522099;1996-06-29
Tara Rosales;573258087;1931-05-20
Miriam Rush;731586984;1932-04-22
Santiago Leach;616966058;1951-03-27
Camille Tyson;484355129;1950-06-08
Tanya Watson;21027044;1960-12-01
Kent Craft;366208317;2001-04-13
Maude Webb;791824859;1978-09-27
Stephanie Mcgee;356240231;2008-06-30
Osborne Williamson;973743495;1915-12-28
Morin Newman;612953797;2006-01-01
Kimberly Mueller;903101462;1948-03-21
Hansen Cameron;28916406;1935-12-14
Corinne Garner;326189458;1978-09-13
Harper Zamora;991361933;1945-10-29
Olive Orr;319206317;1923-06-20
Verna Dickerson;922320960;1991-02-20
Patsy Faulkner;786794439;1919-03-03
Martin Barnes;250202109;1949-12-19
Tracie Stanton;371898635;1962-07-31
Kelley Rogers;296644991;1957-09-19
Georgina Bean;220989236;1997-11-22
Lela Mcpherson;916879003;1915-09-29
Wooten Boone;992562666;1935-06-02
Tia Leblanc;187725437;1971-09-24
Mariana Baird;271855248;1939-07-09
Randolph Martin;319204258;1967-01-13
Alisha Noel;692458900;1941-03-14
Jordan Cherry;759992506;1943-03-28
Gay Carson;321626096;1919-09-16
Janette Cook;945027576;1979-04-09
Gross Douglas;377592006;2001-07-05
Aguilar Hickman;814267911;1979-10-03
Margo Maxwell;210860190;1947-05-11
Lloyd Rosa;334980798;1922-05-04
Collier Graves;492509172;2002-05-18
Wall Moses;225004972;1975-12-18
Schroeder White;9635132;1928-06-19
Carla Abbott;660468051;1920-08-03
Graves Hudson;941183540;1964-12-20
Michele Bryant;320075595;1958-05-23
Pate Rosario;451114935;1992-03-31
Cooper Shepherd;909034095;1947-01-07
Curry Reeves;175546886;1978-12-12
Brianna Ferrell;672742761;1992-11-30
Hess Sosa;436109300;1976-05-11
Haney Head;2359845;2007-04-25
Tessa Rodriquez;739014108;1953-05-10
Freida Prince;446408254;2007-07-06
Hayes Mcmillan;272582972;1926-04-29
Farley Lucas;356570818;1997-09-24
Romero Villarreal;441288996;2005-09-10
Callie Kane;335496050;1981-04-25
Letitia Walls;57078526;1939-01-07
Mann Herman;275098548;2011-03-01
Wilkinson Hendricks;150456651;1985-05-22
Lyons Bradshaw;260621610;2008-08-06
Alma Solomon;794292120;1923-03-20
Isabella Mooney;141009061;1934-09-12
Hahn Bowman;33452687;1919-12-16
Belinda Albert;301804314;1990-05-26
Alba Franco;529184895;1963-10-07
Perkins Carey;721104619;1930-04-30
Bailey Delaney;827452368;1930-02-24
Gracie Fuentes;912107826;1934-10-07
Simmons Gibson;889825931;1960-03-01
Christie Barnett;912816357;1984-12-09
Debora Smith;487544886;1927-03-26
Harmon Welch;223538620;2008-08-20
Adriana Elliott;69243873;1950-02-02
Rasmussen Jimenez;21134845;2014-09-19
Bates Mckinney;257649379;2004-11-24
Janie Ward;237896572;1946-11-23
Horne Winters;318514708;2000-01-13
Marcie Booker;132174816;1963-12-23
Benjamin Park;916187982;1946-04-02
Mollie Joyce;922955231;1984-05-27
Schmidt Berg;601731586;1962-06-05
Vazquez Chambers;344637386;1948-02-23
Vaughn Martinez;582960066;1998-01-17
Karin Gray;637450733;2009-09-02
Kline Robertson;43191325;2002-09-08
Lora Sears;516019043;2008-05-17
Mendez Cruz;98959226;1933-07-07
Vincent Jackson;966078999;1989-09-20
Clara Norman;301087516;1957-11-28
Hancock Lang;829121943;2003-02-22
Marissa Norris;594539217;1985-07-28
Flynn Gomez;917839887;2001-09-21
Janis Wooten;948626147;1933-01-13
Patrick Hawkins;822643471;1926-10-03
Jeanie Griffin;407371080;1968-08-28
Marilyn Holden;503025384;1944-06-09
Watkins Conway;351373151;1970-12-22
Carpenter Knowles;597565530;1921-09-21
Elvia Meyer;39035778;1967-12-21
Selena Arnold;26125289;2003-01-11
Guerra Kaufman;425806448;1958-05-15
Raymond Patrick;700924793;1972-03-27
Cervantes Hunt;350269663;1919-11-24
Crosby Hansen;940719458;1963-09-02
Silva Morris;28675786;1998-03-16
Acosta Houston;691325680;2008-06-09
Tasha Barton;647820127;1930-05-14
Nell Sandoval;859640097;1961-10-30
Janell Morrison;528674797;1939-02-15
Burris Roth;611655763;1992-02-04
Blanche Cunningham;751979038;1951-09-07
Montgomery Walsh;256720533;1986-06-01
Allen Forbes;433897675;1965-11-14
Virginia Cochran;542281383;1935-12-24
Hannah Grant;543539447;1929-10-28
Young Molina;595898249;1993-09-03
Walsh Mcfarland;684391412;1975-02-17
Carney Peters;65136455;2010-09-23
Cruz Foley;854768287;1921-11-06
Pugh Santos;3111284;2001-05-01
Cathryn Ruiz;475620320;1985-06-02
York Melton;848173630;2002-09-24
Hickman Yates;915003518;1940-07-17
Roman Figueroa;206115629;1957-11-27
Jenny Byrd;156835296;1947-01-24
Mcleod Schultz;667219056;1961-01-24
Helen Eaton;863068983;1993-07-18
Emerson Heath;323259495;1983-03-28
Walter Vasquez;933383713;2013-10-04
Hazel Justice;979365992;1988-02-25
Beulah Booth;127653153;1921-09-02
Polly Gill;105777276;1918-08-24
Estes Wade;733909009;1967-01-16
Myrtle Owens;727852181;1949-11-26
Genevieve Rose;712920330;1952-05-09
Perry Mcdaniel;529511343;1995-08-21
Tommie Wilson;700770262;1984-03-25
Marian Osborn;282496827;1991-01-23
Barrett Johnston;656713759;1990-03-31
Savannah Snow;114933940;1983-09-01
Eunice Bailey;359061916;1931-03-18
Dolores Tran;416821114;1936-09-01
Chase Robbins;90969176;2009-07-07
Harriett Goff;53524859;1927-04-06
Ada Robles;538933595;1980-09-24
Berry Montoya;903543836;1966-01-23
Pittman Valenzuela;512386321;1999-08-08
Lynnette English;163961860;1963-10-26
Newton Mason;658096691;1936-05-17
Gordon Murray;722829606;1957-12-28
Martina Dotson;979602482;1923-07-14
Melva Weiss;827201774;1976-01-09
Effie Skinner;938461570;1951-06-22
Hudson Nash;8672302;1963-10-04
Penny Macias;40878111;1975-03-18
Levine Rowe;429169077;1928-05-10
Marquez Saunders;592774037;2006-09-16
Bonner Hughes;709319758;1929-06-05
Benson Benson;263039423;1980-06-12
Fitzgerald Dennis;409226867;1981-07-01
Rosanne Wise;925313812;2003-01-03
Burch Phelps;506488113;1966-12-08
Pollard Talley;267925538;1948-11-05
Edith Mcneil;831882257;1921-11-13
Rios Glover;691380384;1930-08-02
Annette Morin;808475803;2004-11-10
Hartman Waller;155060558;2006-12-04
Charity Horn;401073000;1984-12-27
Patti Chapman;898823322;2011-08-12
Lucy Woodard;666566339;1961-06-27
Schultz Snyder;182711351;1984-12-05
Cynthia Ashley;84497212;1968-10-18
Mable Farley;581473501;1931-11-08
Dixie Stephenson;156708091;1968-01-19
Lane Atkins;497301263;2007-02-06
Tran Roberts;978580547;1966-05-20
Hendrix Atkinson;846802165;1947-01-15
Celia Oneill;232776957;1994-10-31
Kenya Witt;609928807;2003-01-30
Aida Whitfield;713226967;1998-03-12
Sutton Mccall;783070594;1988-08-12
Dora Good;210363090;2003-09-23
Mathis Mckee;189086964;1964-03-12
Peck Mccullough;586270047;1972-06-22
Hinton Banks;523641044;2000-02-13
Margarita Marks;915778475;1999-12-20
Blackburn Suarez;580794774;1937-08-15
Shana Hutchinson;752730846;1954-01-02
Christa Gross;981794206;1991-12-13
Reid Luna;146455756;1955-10-19
Leonard Stanley;280637426;1917-02-25
Powers Briggs;103396186;1952-11-06
Karyn Delgado;431942363;1934-10-07
Jenkins Greene;386300432;1998-08-26
Rhoda Koch;346864441;1989-12-08
Ray Calderon;29458310;1976-08-29
Bird Deleon;243540276;1924-08-20
Weaver Barr;784470401;1976-12-31
Jamie William;511917406;1929-01-16
Gardner Farrell;47202200;1961-02-25
Beasley Haney;699277159;1945-05-26
Lessie Michael;128086433;2006-02-01
Lydia Diaz;445349833;1944-12-16
Sparks Huff;229790955;1959-05-30
Araceli Ramos;884483524;1974-01-14
June Lopez;35525730;1930-08-21
Bryant Fisher;317861028;1994-04-13
Oneil Fitzgerald;616083028;1987-03-13
Mcintosh Bentley;188505179;1959-07-22
Harrell West;787418133;1997-07-15
Petra Bauer;466094399;1990-12-28
Naomi Cooper;185716392;1934-07-21
Barnett Stevens;970284904;2012-05-28
Salazar Guzman;112850766;1993-02-12
Malone Alvarez;579547342;1957-01-16
Merle Stout;633615772;1925-10-13
Terry Hess;428748317;1919-11-21
Cain Richard;880791722;1917-05-29
Imogene Rice;420806249;1938-05-06
Orr Joseph;53417618;1934-11-20
Stout Best;644215908;1928-02-29
Whitehead Allen;15567120;1969-11-07
Johnston Weber;651954146;1943-08-16
Curtis Harding;698866320;2010-12-25
Juarez Shepard;215357063;1959-10-08
Rodriguez Wood;980567852;1939-04-16
Hewitt Christian;869202136;1934-03-21
Kathryn Bowers;326811303;1924-11-08
Mccormick Snider;761964626;1988-04-03
Rosemarie Moody;15824282;1925-01-04
Sabrina Hendrix;439767826;2014-02-12
Rachel Tucker;107830322;1943-06-16
Rosella Velez;956659907;1918-06-01
Alice Rutledge;757266038;1995-08-21
Nina Potter;205364682;1923-09-01
Felicia Goodman;866518820;2016-02-18
Bowen Oliver;543938447;1930-10-01
Freeman Dudley;156183547;1992-03-17
Blanca Kent;552776015;1991-11-14
Jordan Duke;346917582;1925-04-07
Christi Reed;120935506;1995-07-21
Alana Bray;492624785;1949-12-20
Peggy Finch;749665147;1992-02-19
Christensen Hopper;377603508;1992-09-28
Nikki Dejesus;206328190;1967-03-12
Eva Jarvis;998397005;1992-01-29
Angelia Fleming;818021029;1948-01-01
Jana Hernandez;226038043;1956-09-01
Tabitha Sullivan;356897454;1915-10-04
Pope Dixon;938198387;1987-02-28
Wade Hardy;562453996;2003-11-25
Pearson Hale;17457619;1929-11-05
Mullins Clark;790448443;2014-06-30
Terrie Terry;123577491;2014-07-27
Lara Hardin;673940803;1919-12-18
Hunter Yang;948898206;1951-02-03
Millie Mcintosh;148031523;1971-12-24
Matilda Thompson;641111610;2012-10-03
Velma Decker;114371854;2013-09-03
Ayers Andrews;74072805;1969-05-17
Mercado Middleton;655519186;1981-06-15
Osborn Mendoza;120405640;2010-01-02
Edwina Carroll;224575188;1999-08-14
Durham Lancaster;691366504;2009-10-24
Weber Lester;70175194;1951-06-18
Casey Lynch;102443182;1915-02-01
Ofelia Moon;229782851;1916-05-20
Jackie Sykes;891577546;1973-07-09
Griffin Gonzalez;342703117;2011-08-25
Gabrielle Serrano;74270260;2002-04-22
Ann Weeks;981764684;1926-09-03
Lidia Obrien;483416246;1919-04-23
Norris Howard;6979264;1971-09-01
Mcclain Hahn;396759399;1936-09-21
Castillo Wiley;949883065;1964-04-01
Holcomb Le;481175212;2004-12-11
Regina Burnett;784264133;2014-08-04
Erin Carter;785287886;1930-05-20
Higgins Lowery;576119011;1981-02-12
Tammi Ingram;465804653;1997-03-15
Reyna Larsen;904941580;1988-11-09
Mcknight Byers;121568855;1920-11-12
Deanne Drake;218486058;1958-01-01
Juliet Richardson;494066271;1975-04-16
Mayer Dominguez;69561172;1968-10-16
Browning Hooper;225397838;1971-09-01
Karen Bennett;952382781;1931-01-11
Zimmerman Page;821496660;1970-05-30
Cleo Kelly;913952442;1931-04-01
Marjorie Fernandez;791719221;1969-11-30
Turner Flynn;537938098;2007-02-01
Munoz Warner;501988370;1967-09-28
Reeves Haynes;225842722;1974-04-14
Mary Sexton;967578715;1999-06-03
Alberta Hayden;844075831;2006-05-09
Hodge Ayers;944292068;1985-10-13
Sophia Dale;994141820;2003-11-01
Lelia Christensen;62207503;2016-02-16
Horton Rodriguez;11665355;2007-06-29
Johnnie Randall;756857615;1929-08-07
Noreen Cox;742656635;1968-10-11
Mayra Clemons;600682502;1989-09-10
Natalia Steele;537935334;1996-11-13
Aline Carney;650964620;1981-03-20
Elena Randolph;340668004;1927-04-29
Melanie Palmer;383924549;1981-01-11
Melissa Duran;406105274;1972-09-02
Alisa Massey;870645114;1987-06-26
Rogers Jacobs;791540018;1958-03-27
Reed Jordan;354832349;1978-11-27
Sheena Nixon;216737114;1989-04-25
Hilda Kidd;497271524;1948-02-20
Hope Sutton;205137579;1949-01-17
Lina Sherman;982705122;1997-11-07
Hardin Washington;153624717;1935-08-25
Logan Pratt;95671767;1929-04-03
Hilary Walton;361704422;1916-08-16
Livingston Levine;452380155;1919-10-30
Briana Montgomery;402723595;2006-04-14
Owen Preston;506842242;1996-07-12
Francesca Cole;962596704;2008-10-06
Roth Trujillo;266504480;1994-03-17
Crane Burris;431876987;1988-04-10
Lila Lyons;138355449;1965-12-03
Bartlett Holland;776280616;1952-06-19
Sandoval Cortez;919270015;2011-04-24
Wright Rasmussen;281515569;1986-03-12
Dolly Craig;869404817;1968-11-29
Fuller Avery;509083446;1947-12-03
Beard Mercado;36972701;1982-07-21
Jayne Vaughan;736100199;1935-03-27
Kidd Cobb;695893826;1950-09-17
Rachelle Parker;306538266;1947-08-12
Finley Perez;857103549;1976-05-10
Charlotte Mitchell;929635208;1948-11-18
Mcintyre Johnson;419458624;1995-03-07
Desiree Tyler;325780802;1929-09-21
Jerry Wong;133347732;2001-02-24
Sargent Matthews;586709348;1989-04-28
Ballard Bernard;142016595;1927-12-11
Latonya Walter;839345059;1923-12-26
Williams Paul;419453489;1939-08-19
Lourdes Sparks;730617728;2014-03-12
Carey Shaw;949151955;1962-10-13
Daniels Haley;810660733;1959-01-16
Judy Mosley;369638179;1990-01-01
Rivas Marsh;278784331;2011-03-16
Brady Mcbride;46190626;1948-04-20
Dollie Blankenship;827580376;1989-05-01
Estella Crawford;991221193;2012-01-01
Donaldson Kim;496538974;1966-03-31
Rosalind Wells;673973074;1952-04-11
Elliott Alford;708558607;1947-10-17
Patricia Brown;891517356;2012-08-01
Anna French;825706358;1985-11-03
Katina Cleveland;467711580;1947-06-23
Cantu Key;972468061;1953-05-10
Avis Stevenson;319084496;1967-08-15
Meghan Strong;83236193;2005-03-09
Terrell Garrison;395713427;1967-02-15
Sharron Dunlap;729468126;1974-02-11
Adela Waters;324399000;1943-06-20
Mai Gonzales;500845048;1998-02-26
Louella Flowers;199765823;2004-03-07
Lancaster Larson;366043368;1945-11-23
Elizabeth Hays;578332030;1918-02-04
Sawyer Hoffman;518149483;1999-08-26
Webster Velasquez;184611546;1944-08-09
Nola Harrington;701296406;2004-02-07
Joni Valentine;328616376;1994-08-02
Mccarty Wall;622048561;1919-07-03
Small Reid;397995871;2002-08-09
Angelique Jenkins;48418843;1951-08-20
Cleveland Roberson;639429728;1977-04-03
Gena Graham;924561209;1944-11-23
Deborah Ray;630836020;1946-03-08
Shepherd Coleman;840569382;1990-01-29
Chandra Wilcox;442475575;1934-07-06
Mcpherson Guerrero;493339109;1953-02-12
Glenn Wilder;283953302;1977-03-14
Wilcox Vinson;202964012;1947-05-29
Mcdowell Lewis;13916081;1972-12-24
Jarvis Ellis;763260820;2003-01-05
Moss Hanson;978516637;1944-09-14
Andrews Green;984626965;1968-07-10
Miranda Riddle;324004017;1942-12-22
Brown Blackwell;644666233;1971-12-31
Norton Long;847472459;2013-01-06
Sosa Wagner;448563576;1923-06-16
Colleen Benton;234271826;1984-01-31
Pam Collier;173312021;1944-06-05
Evans Nielsen;696981699;1967-06-17
Michael Sloan;873298091;2008-07-04
Alvarez Burke;767665549;1993-01-15
Addie Cardenas;780220096;1961-10-18
Levy Rojas;741048771;1916-04-13
Cassandra James;945169237;2006-07-21
Ferrell Rodgers;665660571;1974-02-23
Love Simpson;438050281;1961-08-14
Abby Russell;300310596;1961-11-11
Catherine Mcknight;820295452;1988-02-14
Molina Cooke;119162889;1943-11-04
Elinor Poole;83057184;1957-10-03
Hood Shannon;789955115;2009-03-01
Julia Miller;279909711;1915-09-23
Castro Noble;988286015;1958-07-30
Isabel Cervantes;855887490;1991-01-16
Clark Osborne;474359895;1990-11-15
Gretchen Cross;365619526;2011-09-04
Mabel Phillips;950498765;1919-06-01
Gladys Austin;777840878;1915-02-26
Barrera Bass;811479799;1972-09-11
Decker Barker;342473958;1942-12-11
Allie Landry;852162154;1938-08-13
Denise Gamble;538151264;1969-10-20
Lesa Hatfield;819071705;1973-01-24
Mullen Barlow;745312209;1976-12-09
Trisha Moreno;132516777;1967-02-12
Blanchard Buckley;112948972;1977-12-20
Morris Fulton;669719996;1977-06-25
Nelda Bond;665132423;2006-04-02
Clarke Watkins;448142558;1975-05-18
Danielle Nunez;913836429;1935-01-18
Robles Whitley;763122961;1928-11-04
Gwendolyn Morgan;274949368;1965-12-02
Larson Garza;652992991;1938-01-25
Barbra Dillon;146650719;2015-09-24
Sharlene Dodson;752413918;1963-01-23
Lilly Hood;931011048;1929-08-24
Baker Murphy;991904616;1992-02-18
Franco Hodge;973395783;2013-02-19
Aisha Daniels;460823970;1998-04-26
Latasha Goodwin;975712548;1917-10-07
Valentine Anthony;827999447;1950-01-11
Britt Henry;10905729;1956-07-10
Barbara Mccoy;304345502;1938-07-29
Compton Ramsey;622083126;1977-11-29
Callahan Brady;369835020;1930-12-25
Howe Mclaughlin;519747494;1965-12-15
Shawna Frost;730425132;1926-09-11
Nieves Hammond;48729570;2004-03-03
Butler Strickland;753710616;1995-09-07
Lolita Branch;537186829;1937-12-23
Miranda Foreman;296905220;1950-01-26
